start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7
0.434,0.473,USV_1,0.03899999999999998,,,None,,,,,0.008996523916721344,0.023595473345588234,14698.096990913222,16859.911045687848,0.0005665394405649587,31136.029411764706,17450.91355546323,2.4561113755845376,3.4636745608761297,6.649794856329528,18.39191279870866,10.646240684454982,14.841235066586918,53.562209678289726
1.271,1.36,USV_2,0.08900000000000019,,,None,,,,,0.012132357805967331,0.04970974392361111,16784.2913446137,14460.833415213665,0.00012986411985121035,29252.604166666668,18620.25970125278,3.6867750161086974,5.531163634433843,6.098517009059964,17.797914016843475,11.779764585156894,16.494038527185964,62.492521099555496
1.753,1.851,USV_3,0.09800000000000009,,,None,,,,,0.011941110715270042,0.04007036258012821,15401.342806420502,13641.300141725722,4.553106985287583e-05,28149.03846153846,21477.394519025216,1.816035934709877,6.952566658425788,4.603967498357886,15.761620150490788,11.523458365832761,17.314321172649745,61.99182454310733
2.791,2.887,USV_4,0.09600000000000009,,,None,,,,,0.009749375283718109,0.05470034950657895,16329.959096050288,13710.664659533291,0.0001523737415510732,29328.947368421053,16041.732276601108,2.705329430384003,4.136504853443062,6.147181577831073,15.08279804344301,11.977835465738188,15.97598028243645,61.96490092000833
5.052,5.14,USV_5,0.08800000000000008,,,None,,,,,0.009351181797683239,0.05140206473214286,16212.444192383815,13762.737718711533,8.242173377542835e-05,29282.14285714286,21692.689150065537,2.223369062392185,3.673872069274587,6.31393134352364,17.75986599222793,10.86205397201172,16.659162624221928,63.460764241966494
5.199,5.259,USV_6,0.0600000000000005,,,None,,,,,0.009479571133852005,0.01765625,14236.419667207032,15299.645386288483,0.00013210903615031534,29752.5,21643.227156842226,1.943819845109146,4.877159188899842,5.674157983928844,16.770783412679048,12.400497946728306,16.322236452919086,57.902448475509
7.004,7.0809999999999995,USV_7,0.07699999999999996,,,None,,,,,0.01052283775061369,0.05640435987903226,16614.6592646944,13154.219448700134,3.005712056185067e-05,28478.83064516129,17165.762398127805,2.6489002970357327,4.0723983680606475,5.6560030795319856,16.232822435519466,11.95549490070727,17.274136447774104,62.98194033243424
7.254,7.313000000000001,USV_8,0.05900000000000105,,,None,,,,,0.009707864373922348,0.02265625,14342.107489582173,15448.698789961618,0.00024227150722373227,29812.5,20417.74257253854,2.235265928877055,5.438767042061574,5.469969458381545,15.865304570859234,11.25162998127127,16.379919802788535,56.89041957413894
8.21,8.294,USV_9,0.08399999999999963,,,None,,,,,0.012355055660009384,0.03856703814338235,15549.08284836467,14620.940775599494,0.0003262646974701634,28552.389705882353,19262.506740267065,1.7534017329247586,6.860918028664008,5.920075016450359,16.664627400454975,10.78896750952915,17.77666055558178,60.69392404843731
10.818999999999999,10.888,USV_10,0.06900000000000084,,,None,,,,,0.010416143573820591,0.04936000279017857,16558.641012633154,13312.162062631469,4.2792024155302866e-05,28520.089285714286,20568.803838118147,2.658502890371243,4.080834841718165,4.36820861439928,16.941128171671462,11.681584769078848,17.488178657078166,62.45070541095906
