start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7
0.158,0.244,USV_1,0.086,,,None,,,,,0.026537660509347916,0.012534877232142857,9983.433463939735,13813.790418265535,0.00016962125562263545,24008.035714285714,22859.613169759043,4.226707842096265,2.6035561252268113,6.019302925692095,17.124407255346792,10.579742793584211,15.837459400852131,57.98231263736632
1.201,1.309,USV_2,0.10799999999999987,,,None,,,,,0.01279757171869278,0.03345294331395349,13786.116383260944,12957.576296604477,6.94618590232703e-05,25726.74418604651,19940.22523422746,3.0979559755186195,3.7507121487591797,5.642766443554188,15.658757705211054,10.854051237981384,15.947526097387623,61.65390417085292
2.617,2.721,USV_3,0.10400000000000009,,,None,,,,,0.013728302903473377,0.02555735518292683,13053.348467946691,13233.771916704167,9.397473707614908e-05,25872.713414634145,17755.836951537658,3.0933259138339944,3.924756514731797,5.159069643523981,18.36076181135107,11.425618048106202,16.29828363326969,61.485053234724326
3.185,3.315,USV_4,0.1299999999999999,,,None,,,,,0.037505436688661575,0.011182598039215686,7192.140896345556,10805.631816735946,5.744841412327254e-05,17257.352941176472,23548.905157483634,4.325192716216736,2.2243031487037856,5.27738316084383,15.62453747039875,11.52188459647849,15.618540198161396,59.789853609306476
3.862,4.009,USV_5,0.14700000000000024,,,None,,,,,0.036084722727537155,0.017632846174568964,9043.936306121932,10992.452135747451,4.5417349764658584e-05,18758.081896551725,17751.971800995412,3.1260209936300645,3.013062949737245,4.787316354941602,16.56609595031734,9.982984947059117,13.851977307503857,61.34228723618746
4.168,4.214,USV_6,0.04600000000000026,,,None,,,,,0.043113794177770615,0.00654296875,6950.912511264463,12065.891521451691,8.300655620166792e-05,16031.25,25337.86376654687,3.153510154011465,2.6347238408822404,5.373071167814888,19.564600560656526,10.736355606116902,16.923292155628594,55.17301216472647
8.196,8.306000000000001,USV_7,0.11000000000000121,,,None,,,,,0.01438063383102417,0.026761141690340908,12669.517274124099,12988.834237209772,3.6850512429336994e-05,25879.261363636364,19086.708229015683,3.3864003660148514,4.314531983020253,6.001150879689999,17.355323639288045,11.193769844207528,15.778463941944027,59.84623981731297
15.46,15.531,USV_8,0.07099999999999973,,,None,,,,,0.026159262284636497,0.012383822737068966,9493.416446939298,13511.728287799564,6.817911721272245e-05,22687.5,21812.501852622292,5.145100953256268,2.5645206752995064,5.556200834392607,17.409877409918764,10.980002663661006,14.173105018189307,56.73784488264093
16.292,16.325,USV_9,0.0329999999999977,,,None,,,,,0.012322061695158482,0.023470052083333335,10958.308242777983,13107.384344390011,5.4271464386263584e-05,24312.5,25803.603440316136,2.2004606325312817,5.650963163749363,4.806861373887016,18.27345171176553,15.792164718319821,15.717226591738642,55.08407856160158
19.877000000000002,19.92,USV_10,0.04299999999999926,,,None,,,,,0.019110573455691338,0.020263671875,10053.168865563925,12294.99109523698,2.7913035018065594e-05,20947.916666666668,15095.337392466563,1.6832299716935326,3.3238396707357794,5.703824500695898,15.692942011612994,15.383781150750833,15.166768070290898,59.2367474034459
